,index,slope,r,p
30,GEORGIA_ECHOLS,-7.5,-1.0,0.0
31,GEORGIA_EFFINGHAM,-22.949999999999996,-0.8800470293297431,0.31502181041240923
32,GEORGIA_EMANUEL,0.4633333333333329,0.07905783659243754,0.8397811889416605
33,GEORGIA_EVANS,1.8100000000000023,0.11938243969318015,0.8483593933750433
34,GEORGIA_FLOYD,9.676190476190477,0.47319547603316353,0.23630551532264354
35,GEORGIA_FRANKLIN,-5.9,-0.3162810140137321,0.6041169858787935
36,GEORGIA_GORDON,1.8854545454545453,0.18676793318563623,0.5824039493794535
37,GEORGIA_GRADY,7.783333333333333,0.7952929530046202,0.01828786041343265
38,GEORGIA_HABERSHAM,13.02,0.8693355525648567,0.05557372348368319
39,GEORGIA_HALL,-1.6773809523809529,-0.34643367109646406,0.400537721234331
40,GEORGIA_HART,5.855952380952379,0.5207229153199275,0.1857815558358699
41,GEORGIA_HOUSTON,2.8699999999999988,0.3946811998205005,0.6053188001794996
42,GEORGIA_IRWIN,-0.6993939393939398,-0.24649673608485348,0.4923740974097125
43,GEORGIA_JEFF DAVIS,-5.817142857142856,-0.3163003643587982,0.5413717340141566
44,GEORGIA_JEFFERSON,-0.6390909090909089,-0.18679521146563546,0.5823478624002009
45,GEORGIA_JENKINS,5.94,0.6342201958020518,0.06658548398784146
46,GEORGIA_JOHNSON,-6.016666666666667,-0.4286025440644333,0.2893643479499861
47,GEORGIA_LANIER,36.75,0.9956595648455635,0.059336095868546344
48,GEORGIA_LAURENS,0.9300000000000012,0.09780959014984324,0.8756638131094872
49,GEORGIA_LEE,-0.3900000000000034,-0.018284577104727327,0.9817154228952727
50,GEORGIA_LONG,,0.0,
51,GEORGIA_LOWNDES,-17.590000000000007,-0.3991561711033948,0.6008438288966051
52,GEORGIA_MACON,1.3648484848484856,0.20855986982665564,0.5631072464433735
53,GEORGIA_MARION,-0.21785714285714267,-0.015187501508305553,0.9715278133091214
54,GEORGIA_MERIWETHER,,0.0,
55,GEORGIA_MILLER,-0.358181818181818,-0.08781884298689119,0.797368364511161
56,GEORGIA_MITCHELL,0.7233333333333329,0.3245161790539637,0.3942038215407692
57,GEORGIA_MONTGOMERY,-32.900000000000006,-1.0,0.0
58,GEORGIA_MURRAY,,0.0,
59,GEORGIA_OTHER (COMBINED) COUNTIES,0.2857588075880759,0.237330788154513,0.032895234107994546
60,GEORGIA_OTHER COUNTIES,2.700000000000017,1.0,0.0
61,GEORGIA_PEACH,3.1999999999999886,1.0,0.0
62,GEORGIA_PIERCE,0.20181818181818145,0.033304400634669926,0.9225606360791856
63,GEORGIA_POLK,15.980000000000002,0.7868435394886563,0.11428356980490494
64,GEORGIA_PULASKI,24.4,0.7185915042360628,0.489574283040023
65,GEORGIA_RANDOLPH,1.7616666666666663,0.42333407649798505,0.25622470566039685
66,GEORGIA_SCHLEY,19.0,1.0,0.0
67,GEORGIA_SCREVEN,1.2100000000000004,0.34930990396549544,0.2923664002200322
68,GEORGIA_SEMINOLE,0.11000000000000021,0.030278494115975472,0.9295806719957003
69,GEORGIA_SUMTER,4.005952380952379,0.7556739549821525,0.030107640085300622
70,GEORGIA_TATTNALL,-1.0214285714285727,-0.19138547101950573,0.6498186320961339
71,GEORGIA_TAYLOR,-1.3800000000000012,-0.07804970442259136,0.900725017969928
72,GEORGIA_TELFAIR,,0.0,
73,GEORGIA_TERRELL,2.559999999999999,0.4253314743890194,0.22042243504715703
74,GEORGIA_THOMAS,6.603333333333334,0.562717031252148,0.11471370596905514
75,GEORGIA_TIFT,3.2314285714285695,0.3146650584750653,0.543580550917199
76,GEORGIA_TOOMBS,-2.810714285714285,-0.30712621337895285,0.5028450175847732
77,GEORGIA_TURNER,2.027380952380951,0.4163420085742212,0.30487880270183193
78,GEORGIA_TWIGGS,-6.5,-1.0,0.0
79,GEORGIA_UNION,15.500000000000007,0.6806018283942487,0.5234367782736484
80,GEORGIA_WALKER,,0.0,
81,GEORGIA_WALTON,-6.8999999999999915,-1.0,0.0
